theta3	G1	G2	G3
0.662384	0	19.7181	-30.1657
0.675001	0	19.7181	-30.6512
0.687618	0	19.7181	-31.1319
0.700235	0	19.7181	-31.6077
0.712851	0	19.7181	-32.0784
0.725468	0	19.7181	-32.544
0.738085	0	19.7181	-33.0044
0.750702	0	19.7181	-33.4596
0.763319	0	19.7181	-33.9094
0.775936	0	19.7181	-34.3538
0.788552	0	19.7181	-34.7928
0.801169	0	19.7181	-35.2262
0.813786	0	19.7181	-35.6541
0.826403	0	19.7181	-36.0762
0.83902	0	19.7181	-36.4926
0.851637	0	19.7181	-36.9032
0.864253	0	19.7181	-37.308
0.87687	0	19.7181	-37.7067
0.889487	0	19.7181	-38.0995
0.902104	0	19.7181	-38.4862
0.914721	0	19.7181	-38.8668
0.927338	0	19.7181	-39.2412
0.939954	0	19.7181	-39.6094
0.952571	0	19.7181	-39.9713
0.965188	0	19.7181	-40.3268
0.977805	0	19.7181	-40.6758
0.990422	0	19.7181	-41.0184
1.00304	0	19.7181	-41.3545
1.01566	0	19.7181	-41.684
1.02827	0	19.7181	-42.0068
1.04089	0	19.7181	-42.323
1.05351	0	19.7181	-42.6324
1.06612	0	19.7181	-42.9351
1.07874	0	19.7181	-43.2309
1.09136	0	19.7181	-43.5198
1.10397	0	19.7181	-43.8018
1.11659	0	19.7181	-44.0768
1.12921	0	19.7181	-44.3448
1.14182	0	19.7181	-44.6058
1.15444	0	19.7181	-44.8596
1.16706	0	19.7181	-45.1063
1.17967	0	19.7181	-45.3458
1.19229	0	19.7181	-45.5781
1.20491	0	19.7181	-45.8032
1.21752	0	19.7181	-46.021
1.23014	0	19.7181	-46.2314
1.24276	0	19.7181	-46.4345
1.25538	0	19.7181	-46.6302
1.26799	0	19.7181	-46.8184
1.28061	0	19.7181	-46.9992
1.29323	0	19.7181	-47.1726
1.30584	0	19.7181	-47.3384
1.31846	0	19.7181	-47.4967
1.33108	0	19.7181	-47.6474
1.34369	0	19.7181	-47.7905
1.35631	0	19.7181	-47.9261
1.36893	0	19.7181	-48.054
1.38154	0	19.7181	-48.1742
1.39416	0	19.7181	-48.2868
1.40678	0	19.7181	-48.3917
1.41939	0	19.7181	-48.4889
1.43201	0	19.7181	-48.5784
1.44463	0	19.7181	-48.6601
1.45724	0	19.7181	-48.7341
1.46986	0	19.7181	-48.8004
1.48248	0	19.7181	-48.8588
1.4951	0	19.7181	-48.9095
1.50771	0	19.7181	-48.9524
1.52033	0	19.7181	-48.9875
1.53295	0	19.7181	-49.0149
1.54556	0	19.7181	-49.0344
1.55818	0	19.7181	-49.0461
1.5708	0	19.7181	-49.05
