theta3	m11	m22	m33
0.548832	3.40203	2.01	12.5
0.561449	3.5433	2.01	12.5
0.574066	3.6863	2.01	12.5
0.586683	3.83094	2.01	12.5
0.5993	3.97711	2.01	12.5
0.611917	4.12473	2.01	12.5
0.624533	4.2737	2.01	12.5
0.63715	4.42393	2.01	12.5
0.649767	4.57533	2.01	12.5
0.662384	4.72779	2.01	12.5
0.675001	4.88122	2.01	12.5
0.687618	5.03552	2.01	12.5
0.700235	5.19059	2.01	12.5
0.712851	5.34634	2.01	12.5
0.725468	5.50267	2.01	12.5
0.738085	5.65947	2.01	12.5
0.750702	5.81664	2.01	12.5
0.763319	5.9741	2.01	12.5
0.775936	6.13172	2.01	12.5
0.788552	6.28943	2.01	12.5
0.801169	6.44711	2.01	12.5
0.813786	6.60466	2.01	12.5
0.826403	6.76198	2.01	12.5
0.83902	6.91899	2.01	12.5
0.851637	7.07556	2.01	12.5
0.864253	7.23161	2.01	12.5
0.87687	7.38703	2.01	12.5
0.889487	7.54173	2.01	12.5
0.902104	7.69561	2.01	12.5
0.914721	7.84857	2.01	12.5
0.927338	8.00051	2.01	12.5
0.939954	8.15133	2.01	12.5
0.952571	8.30095	2.01	12.5
0.965188	8.44926	2.01	12.5
0.977805	8.59616	2.01	12.5
0.990422	8.74158	2.01	12.5
1.00304	8.88541	2.01	12.5
1.01566	9.02756	2.01	12.5
1.02827	9.16794	2.01	12.5
1.04089	9.30646	2.01	12.5
1.05351	9.44304	2.01	12.5
1.06612	9.57759	2.01	12.5
1.07874	9.71001	2.01	12.5
1.09136	9.84023	2.01	12.5
1.10397	9.96817	2.01	12.5
1.11659	10.0937	2.01	12.5
1.12921	10.2169	2.01	12.5
1.14182	10.3375	2.01	12.5
1.15444	10.4555	2.01	12.5
1.16706	10.5708	2.01	12.5
1.17967	10.6833	2.01	12.5
1.19229	10.7931	2.01	12.5
1.20491	10.8999	2.01	12.5
1.21752	11.0038	2.01	12.5
1.23014	11.1047	2.01	12.5
1.24276	11.2025	2.01	12.5
1.25538	11.2971	2.01	12.5
1.26799	11.3885	2.01	12.5
1.28061	11.4766	2.01	12.5
1.29323	11.5614	2.01	12.5
1.30584	11.6428	2.01	12.5
1.31846	11.7208	2.01	12.5
1.33108	11.7953	2.01	12.5
1.34369	11.8663	2.01	12.5
1.35631	11.9337	2.01	12.5
1.36893	11.9975	2.01	12.5
1.38154	12.0576	2.01	12.5
1.39416	12.114	2.01	12.5
1.40678	12.1667	2.01	12.5
1.41939	12.2157	2.01	12.5
1.43201	12.2608	2.01	12.5
1.44463	12.3021	2.01	12.5
1.45724	12.3395	2.01	12.5
1.46986	12.3731	2.01	12.5
1.48248	12.4028	2.01	12.5
1.4951	12.4285	2.01	12.5
1.50771	12.4503	2.01	12.5
1.52033	12.4682	2.01	12.5
1.53295	12.4821	2.01	12.5
1.54556	12.492	2.01	12.5
1.55818	12.498	2.01	12.5
1.5708	12.5	2.01	12.5
