0	3e-07	2.01	12.5
0.00803213	3e-07	2.01	12.5
0.0160643	3e-07	2.01	12.5
0.0240964	3e-07	2.01	12.5
0.0321285	3e-07	2.01	12.5
0.0401606	3e-07	2.01	12.5
0.0481928	3e-07	2.01	12.5
0.0562249	3e-07	2.01	12.5
0.064257	3e-07	2.01	12.5
0.0722892	3e-07	2.01	12.5
0.0803213	3e-07	2.01	12.5
0.0883534	3e-07	2.01	12.5
0.0963855	3e-07	2.01	12.5
0.104418	3e-07	2.01	12.5
0.11245	3e-07	2.01	12.5
0.120482	3e-07	2.01	12.5
0.128514	3e-07	2.01	12.5
0.136546	3e-07	2.01	12.5
0.144578	3e-07	2.01	12.5
0.15261	3e-07	2.01	12.5
0.160643	3e-07	2.01	12.5
0.168675	3e-07	2.01	12.5
0.176707	3e-07	2.01	12.5
0.184739	3e-07	2.01	12.5
0.192771	3e-07	2.01	12.5
0.200803	3e-07	2.01	12.5
0.208835	3e-07	2.01	12.5
0.216867	3e-07	2.01	12.5
0.2249	3e-07	2.01	12.5
0.232932	3e-07	2.01	12.5
0.240964	3e-07	2.01	12.5
0.248996	3e-07	2.01	12.5
0.257028	3e-07	2.01	12.5
0.26506	3e-07	2.01	12.5
0.273092	3e-07	2.01	12.5
0.281124	3e-07	2.01	12.5
0.289157	3e-07	2.01	12.5
0.297189	3e-07	2.01	12.5
0.305221	3e-07	2.01	12.5
0.313253	3e-07	2.01	12.5
0.321285	3e-07	2.01	12.5
0.329317	3e-07	2.01	12.5
0.337349	3e-07	2.01	12.5
0.345382	3e-07	2.01	12.5
0.353414	3e-07	2.01	12.5
0.361446	3e-07	2.01	12.5
0.369478	3e-07	2.01	12.5
0.37751	3e-07	2.01	12.5
0.385542	3e-07	2.01	12.5
0.393574	3e-07	2.01	12.5
0.401606	3e-07	2.01	12.5
0.409639	3e-07	2.01	12.5
0.417671	3e-07	2.01	12.5
0.425703	3e-07	2.01	12.5
0.433735	3e-07	2.01	12.5
0.441767	3e-07	2.01	12.5
0.449799	3e-07	2.01	12.5
0.457831	3e-07	2.01	12.5
0.465863	3e-07	2.01	12.5
0.473896	3e-07	2.01	12.5
0.481928	3e-07	2.01	12.5
0.48996	3e-07	2.01	12.5
0.497992	3e-07	2.01	12.5
0.506024	3e-07	2.01	12.5
0.514056	3e-07	2.01	12.5
0.522088	3e-07	2.01	12.5
0.53012	3e-07	2.01	12.5
0.538153	3e-07	2.01	12.5
0.546185	3e-07	2.01	12.5
0.554217	3e-07	2.01	12.5
0.562249	3e-07	2.01	12.5
0.570281	3e-07	2.01	12.5
